Username,Fullname,Profile URL,22 may,Historial 15 May,Historial 7 May,Provincia,Localidad,Ubicación Jodify,Cantidad Eventos,Responsable
dreamersmusic.ar,𝕖𝕧𝕖𝕟𝕥𝕠𝕤 𝕖𝕝𝕖𝕔𝕥𝕣𝕠𝕟𝕚𝕔𝕠𝕤,https://www.instagram.com/dreamersmusic.ar,,,,Buenos Aires,Mar del Plata,Mar del Plata,4,Facu
on.mvmnt,𝗢𝗻.𝗺𝘃𝗺𝗻𝘁,https://www.instagram.com/on.mvmnt,Si,No,no,Buenos Aires,GBA,CABA | GBA,5,Vila
onebeat.ros,One Beat,https://www.instagram.com/onebeat.ros,No,No,no,Santa Fe,Rosario,Rosario,7,Vila
southsideprod_,SOUTHSIDE PROD.,https://www.instagram.com/southsideprod_,,,,Buenos Aires,GBA,CABA | GBA,6,Facu
singenero__,Sin Genero,https://www.instagram.com/singenero__,No,No,no,Buenos Aires,CABA,CABA | GBA,5,Vila
roadtotheclub,ROAD to the club,https://www.instagram.com/roadtotheclub,,,,Buenos Aires,Bahía Blanca,Bahía Blanca,6,Facu
arbeatmusic,arbeatmusic,https://www.instagram.com/arbeatmusic,No,Si,no,Santa Fe,Santa Fe,Santa Fe | Paraná,5,Vila
golden.hour.ar,🔶GOLDEN HOUR®,https://www.instagram.com/golden.hour.ar,No,No,no,Buenos Aires,CABA,CABA | GBA,5,Vila
somosproduce,Somos Produce,https://www.instagram.com/somosproduce/,Si,No,no,Buenos Aires,CABA,CABA | GBA,9,Vila
numbers____,Numbers.,https://www.instagram.com/numbers____,No,No,si,Buenos Aires,CABA,CABA | GBA,4,Vila
hand_producciones,Hand Producciones,https://www.instagram.com/hand_producciones,,,,Mendoza,Mendoza,Mendoza,9,Ramo
pryma.rec,pryma,https://www.instagram.com/pryma.rec,,,,Neuquén,San Martin de los Andes,Neuquén,5,Ramo
kosmossoundclub,Kosmossoundclub at Zebra,https://www.instagram.com/kosmossoundclub,No,No,no,Córdoba,Villa Carlos Paz,Córdoba,3,Vila
cadencia.concept,Cadencia,https://www.instagram.com/cadencia.concept,No,No,si,Buenos Aires,CABA,CABA | GBA,3,Vila
aboveintheclouds.official,Above In The Clouds ⛅,https://www.instagram.com/aboveintheclouds.official,Si,No,si,Buenos Aires,CABA,CABA | GBA,12,Vila
deepgarden.sessions,DeepGarden🥀🎴,https://www.instagram.com/deepgarden.sessions,No,Si,no,Córdoba,Córdoba,Córdoba,5,Vila
detekted.techno,detekted.techno 🇦🇷,https://www.instagram.com/detekted.techno,,,,Buenos Aires,CABA,CABA | GBA,6,Ramo
elcableafterwake,ElCable AfterWake,https://www.instagram.com/elcableafterwake,,,,Mendoza,San Rafael,Mendoza,3,Ramo
meraki_prod_,𝘔𝘦𝘳𝘢𝘬𝘪 | 𝘗𝘳𝘰𝘥𝘶𝘤𝘵𝘰𝘳𝘢,https://www.instagram.com/meraki_prod_,,,,Buenos Aires,Mar del Plata,Mar del Plata,7,Facu
essence.friends,ESSENCE CREW 🌑,https://www.instagram.com/essence.friends,,,,Buenos Aires,CABA,CABA | GBA,4,Facu
groova.arg,𝗚𝗥𝗢𝗢𝗩𝗔,https://www.instagram.com/groova.arg,,,,Río Negro,Bariloche,Río Negro,6,Ramo
underbeatsession,UnderBeat Session,https://www.instagram.com/underbeatsession,No,Si,no,Córdoba,Córdoba,Córdoba,6,Vila
sonoramusicarg,SONORA,https://www.instagram.com/sonoramusicarg,No,No,si,Buenos Aires,CABA,CABA | GBA,5,Vila
crossingsouthpr,Crossing South Producciones,https://www.instagram.com/crossingsouthpr,,,,Río Negro,Viedma,Río Negro,7,Ramo
edenproducciones.ofc,𝐄𝐃𝐄𝐍,https://www.instagram.com/edenproducciones.ofc,,,,Buenos Aires,CABA,CABA | GBA,6,Ramo
groova.arg,Groova,https://www.instagram.com/groova.arg/,,,,Río Negro,Bariloche,Río Negro,6,Ramo
oeste_techno,OESTE TECHNO,https://www.instagram.com/oeste_techno,,,,Buenos Aires,GBA,CABA | GBA,4,Ramo
laplayaok,La Playa Festival,https://www.instagram.com/laplayaok/,,,,Río Negro,Bariloche,Río Negro,4,Ramo
vision.festival,VISION,https://www.instagram.com/vision.festival,,,,Patagonia,Patagonia,Río Negro,7,Ramo
ruerevesmusic,Rue Rêves,https://www.instagram.com/ruerevesmusic,,,,Buenos Aires,Mar del Plata,Mar del Plata,4,Facu
groove.2.0,⚡️ Sundays 2.0 by GROOVE,https://www.instagram.com/groove.2.0,,,,Buenos Aires,CABA,CABA | GBA,9,Facu
club132official,Club 132,https://www.instagram.com/club132official,Si,No,no,Misiones,Iguazú,Misiones,6,Vila
xsclub.oficial,¢ℓυв 𝐗𝐒,https://www.instagram.com/xsclub.oficial,Si,No,no,Buenos Aires,CABA,CABA | GBA,5,Vila
style.sound,StyleSound,https://www.instagram.com/style.sound,Si,No,no,Buenos Aires,CABA,CABA | GBA,6,Vila
4getprods,4GET Producciones,https://www.instagram.com/4getprods,Si,No,si,Santa Fe,Santa Fe,Santa Fe | Paraná,8,Vila
roswellofc,R O S W E L L,https://www.instagram.com/roswellofc,,,,Mendoza,Mendoza,Mendoza,3,Ramo
dharma.producciones,𝐃𝐡𝐚𝐫𝐦𝐚 𝐏𝐫𝐨𝐝𝐮𝐜𝐜𝐢𝐨𝐧𝐞𝐬,https://www.instagram.com/dharma.producciones,,,,Río Negro,Río Negro,Río Negro,5,Ramo
moonlight.asu,Moonlight,https://www.instagram.com/moonlight.asu,Si,No,no,Buenos Aires,CABA,CABA | GBA,4,Vila
tierradehadas.ok,TIERRA DE HADAS,https://www.instagram.com/tierradehadas.ok,,,,Buenos Aires,Mar del Plata,Mar del Plata,4,Facu
thebass.produ,The Bass Producciones 🎧🎧,https://www.instagram.com/thebass.produ,,,,Neuquén,Neuquén,Neuquén,7,Ramo
circus_ofc,CIRCUS,https://www.instagram.com/circus_ofc,,,,Buenos Aires,La Plata,La Plata,5,Facu
concept_techno,CONCEPT TECHNO,https://www.instagram.com/concept_techno,,,,Buenos Aires,CABA,CABA | GBA,5,Facu
fronteo.product,Tech edition,https://www.instagram.com/fronteo.product,,,,Buenos Aires,GBA,CABA | GBA,4,Ramo
belongto_music,𝘉𝘌𝘓𝘖𝘕𝘎 𝙏𝙊 𝙈𝙐𝙎𝙄𝘾,https://www.instagram.com/belongto_music,No,Si,no,Buenos Aires,CABA,CABA | GBA,9,Vila
hereandnow.prod,ʜᴇʀᴇ ᴀɴᴅ ɴᴏᴡ,https://www.instagram.com/hereandnow.prod,,,,Buenos Aires,CABA,CABA | GBA,18,Ramo
elementsclub.ba,ELEMENTS BA,https://www.instagram.com/elementsclub.ba,Si,Si,si,Buenos Aires,CABA,CABA | GBA,12,Vila
psyche.rec,Psyché Records,https://www.instagram.com/psyche.rec,,,,Neuquén,Neuquén,Neuquén,12,Ramo
elcirculotucuman,EL CIRCULO,https://www.instagram.com/elcirculotucuman,,,,Tucumán,Tucumán,Tucumán,4,Facu
cannibal.set,CANNIBAL SET,https://www.instagram.com/cannibal.set,No,No,no,Santa Fe,Rosario,Rosario,4,Vila
pampa.meetmarket,Pampa Bar | Meet Market,https://www.instagram.com/pampa.meetmarket,,,,Mendoza,Mendoza,Mendoza,4,Ramo
vanguard.entertainment,Vanguard Entertainment,https://www.instagram.com/vanguard.entertainment,,,,Mendoza,Mendoza,Mendoza,4,Ramo
metanoia.ciclo,Metanoia,https://www.instagram.com/metanoia.ciclo,,,,CABA,CABA,CABA | GBA,4,Ramo
lastdanz_,Last Danz,https://www.instagram.com/lastdanz_,No,Si,no,Santa Fe,Rosario,Rosario,3,Vila
planet.produ,Planet Producciones,https://www.instagram.com/planet.produ,,,,Mendoza,Mendoza,Mendoza,3,Ramo
thefamilybx,The Family Producciones,https://www.instagram.com/thefamilybx,,,,Buenos Aires,Bahía Blanca,Bahía Blanca,2,Facu
chillistreetclub,Chilli StreetFood,https://www.instagram.com/chillistreetclub,No,No,si,Córdoba,Córdoba,Córdoba,3,Vila
discordia.ar,Discordia Fest,https://www.instagram.com/discordia.ar,No,No,no,Buenos Aires,GBA,CABA | GBA,2,Vila
mirage.producciones,Mirage Producciones,https://www.instagram.com/mirage.producciones,,,,Mendoza,Mendoza,Mendoza,3,Ramo
nbagroup_,NBAproducciones,https://www.instagram.com/nbagroup_,,,,Río Negro,San Martin de Los Andes,Río Negro,5,Ramo
beforedawn.music,BEFORE DAWN,https://www.instagram.com/beforedawn.music/,No,No,no,Buenos Aires,CABA,CABA | GBA,5,Vila
wertzgroup,Wertz Records Official,https://www.instagram.com/wertzgroup,No,No,no,Buenos Aires,CABA,CABA | GBA,3,Vila
redfalls.project,RED FALLS,https://www.instagram.com/redfalls.project,No,No,no,Misiones,Iguazú,Misiones,2,Vila
undergate.oficial,UNDERGATE,https://www.instagram.com/undergate.oficial,,,,Buenos Aires,CABA,CABA | GBA,5,Ramo
desertinme,Desert In Me,https://www.instagram.com/desertinme,,,,Buenos Aires,CABA,CABA | GBA,2,Ramo
bendito.arg,Bendito Sonido,https://www.instagram.com/bendito.arg,No,No,no,Buenos Aires,GBA,CABA | GBA,4,Vila
ornament.techno,Ørnament,https://www.instagram.com/ornament.techno,,,,Buenos Aires,CABA,CABA | GBA,3,Ramo
asambleaproduce,asamblea produce,https://www.instagram.com/asambleaproduce,No,No,no,Buenos Aires,CABA,CABA | GBA,2,Vila
underhertz,Underhertz,https://www.instagram.com/underhertz,,,,Río Negro,General Roca,Río Negro,2,Ramo
disco.tech_,Discotech,https://www.instagram.com/disco.tech_,,,,Buenos Aires,CABA,CABA | GBA,3,Facu
dpwpsy_ok,DPW (Darth Psyde West),https://www.instagram.com/dpwpsy_ok,,,,Buenos Aires,CABA,CABA | GBA,6,Ramo
groovestation.ok,🔰GROOVE STATION🔰,https://www.instagram.com/groovestation.ok,,,,Buenos Aires,CABA,CABA | GBA,3,Ramo
industrialocal.cba,INDUSTRIA LOCAL,https://www.instagram.com/industrialocal.cba,No,No,no,Córdoba,Córdoba,Córdoba,3,Vila
c4_electronicmusic,C4 Electronic Music,https://www.instagram.com/c4_electronicmusic,,,,Buenos Aires,GBA,CABA | GBA,4,Ramo
culturaunderelectronica,Cultura Under Electronica,https://www.instagram.com/culturaunderelectronica,,,,Buenos Aires,CABA,CABA | GBA,2,Facu
partekna,Pa⚡tekna,https://www.instagram.com/partekna,,,,Neuquén,Neuquén,Neuquén,4,Ramo
laneproduce,Lane 32,https://www.instagram.com/laneproduce,,,,Buenos Aires,CABA,CABA | GBA,3,Facu
pmopenair,PM Open Air,https://www.instagram.com/pmopenair,,,,Buenos Aires,CABA,CABA | GBA,2,Facu
privatepartybche,privatepartybche,https://www.instagram.com/privatepartybche,,,,Río Negro,Bariloche,Río Negro,5,Ramo
