Username,Fullname,Profile URL,22 may,Historial 15 May,Historial 7 May,Provincia,Localidad,Ubicación Jodify,Cantidad Eventos,Responsable
clubnovaiguazu,CLUBNOVA🪩💿,https://www.instagram.com/clubnovaiguazu,,,,Misiones,Puerto Iguazu,Misiones,0,Vila
tranceniteevent,Trance Nite - Buenos Aires,https://www.instagram.com/tranceniteevent,No,No,no,Buenos Aires,CABA,CABA | GBA,1,Vila
experiential.rsa,EXPERIENTIAL,https://www.instagram.com/experiential.rsa,,,,La Pampa,Santa Rosa,La Pampa,0,Ramo
odderway_,Odderway,https://www.instagram.com/odderway_,,,,Buenos Aires,Mar del Plata,Mar del Plata,0,Facu
soultriptechno,S O U L T R I P,https://www.instagram.com/soultriptechno,,,,Buenos Aires,GBA,CABA | GBA,1,Facu
green.houseap,Green House.,https://www.instagram.com/green.houseap,,,,Misiones,Posadas,Misiones,0,Vila
gardenrituals,Garden Rituals,https://www.instagram.com/gardenrituals,,,,Misiones,Posadas,Misiones,0,Vila
riberavivo,𝘙𝘪𝘣𝘦𝘳𝘢 𝘷𝘪𝘷𝘰 𝘱𝘳𝘰𝘥𝘶𝘤𝘤𝘪𝘰𝘯𝘦𝘴,https://www.instagram.com/riberavivo,,,,Córdoba,Córdoba,Córdoba,0,Vila
digitalpeoqle,Digital People,https://www.instagram.com/digitalpeoqle,,,,Buenos Aires,CABA,CABA | GBA,0,Vila
mytribepde,MY TRIBE Pde.,https://www.instagram.com/mytribepde,,,,Uruguay,Punta del Este,Uruguay,0,Ramo
sonora.park,Sonora Park,https://www.instagram.com/sonora.park,,,,Buenos Aires,Mar del Plata,Mar del Plata,0,Facu
district66__,,https://www.instagram.com/district66__,,,,Buenos Aires,Mar del Plata,Mar del Plata,0,Facu
wag__ofc,Wag_oficial,https://www.instagram.com/wag__ofc,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
selvabsas,SELVA Buenos Aires,https://www.instagram.com/selvabsas,,,,Buenos Aires,CABA,CABA | GBA,2,Facu
_444series_,444 SERIES RECORD LABEL,https://www.instagram.com/_444series_,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
tecnotecsi.records,Tecnotecsi Records,https://www.instagram.com/tecnotecsi.records,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
worldpsy_arg,𝗪𝗢𝗥𝗟𝗗 𝗣𝗦𝗬,https://www.instagram.com/worldpsy_arg,Si,No,no,Buenos Aires,CABA,CABA | GBA,1,Vila
spot.people,Spot People 🇦🇷🇺🇾,https://www.instagram.com/spot.people,,,,Uruguay,Punta del Este,Uruguay,0,Ramo
lienzo.project,Eventos en Lugares Únicos,https://www.instagram.com/lienzo.project,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
unidos.arg,ᴜɴɪᴅᴏꜱ ᴘʀᴏᴅᴜᴄᴛᴏʀᴀ,https://www.instagram.com/unidos.arg,No,No,no,Santa Fe,Rosario,Rosario,0,Vila
themotionuy,mōtion,https://www.instagram.com/themotionuy,,,,Uruguay,Punta del Este,Uruguay,0,Ramo
riot_producciones,RIOT Producciones 🛸,https://www.instagram.com/riot_producciones,No,No,no,Córdoba,Córdoba,Córdoba,0,Vila
club.total,CLUB TOTAL (˘ω˘) 🌀💨,https://www.instagram.com/club.total,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
romenproducciones,Romen Producciones,https://www.instagram.com/romenproducciones,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
buenaproductora,Buena Productora,https://www.instagram.com/buenaproductora,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
connection.club_,Connection Ciclo de Eventos,https://www.instagram.com/connection.club_,No,No,no,Santa Fe,Santa Fe,Santa Fe | Paraná,1,Vila
kobold_techno,KOBOLD,https://www.instagram.com/kobold_techno,,,,Buenos Aires,CABA,CABA | GBA,2,Facu
rebootprods,Reboot,https://www.instagram.com/rebootprods,,,,Santa Fe,Santa Fe,Santa Fe | Paraná,0,Vila
interbeats.prod,INTERBEATS,https://www.instagram.com/interbeats.prod,,,,Mendoza,Mendoza,Mendoza,0,Ramo
ladoc.electronic,LADO C,https://www.instagram.com/ladoc.electronic,,,,Buenos Aires,Costa,Costa Atlántica,0,Facu
fiesta.asegurada,🛸👽,https://www.instagram.com/fiesta.asegurada,,,,Buenos AIres,Interior,Interior BA,0,Facu
laisla.sj,𝐋𝐀 𝐈𝐒𝐋𝐀®️,https://www.instagram.com/laisla.sj,,,,San Juan,Ciudad de San Juan,San Juan,0,Ramo
vibe.it_,VIBE IT ENTERTAINMENT,https://www.instagram.com/vibe.it_,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
progressive_experience,Progressive Experience,https://www.instagram.com/progressive_experience,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
par.electronicmusic,PAR - Immersive Electronic Music,https://www.instagram.com/par.electronicmusic,,,,Buenos Aires,CABA,CABA | GBA,2,Ramo
ufopinamar,Ufo pinamar,https://www.instagram.com/ufopinamar,,,,Buenos Aires,Costa,Costa Atlántica,0,Facu
disorder_riot_,DISØRDER,https://www.instagram.com/disorder_riot_,No,No,no,Córdoba,Córdoba,Córdoba,0,Vila
groovevibesbooking,Groove Vibes Bookings 🇦🇷,https://www.instagram.com/groovevibesbooking,,,,Santa Fe,Santa Fe,Santa Fe | Paraná,0,Vila
howtofly_agency,𝐇𝐎𝐖 𝐓𝐎 𝐅𝐋𝐘,https://www.instagram.com/howtofly_agency,,,,Mendoza,Mendoza,Mendoza,0,Ramo
nuevamenteproducciones,Nuevamente Producciones,https://www.instagram.com/nuevamenteproducciones,,,,Córdoba,Rio Cuarto,Córdoba,0,Vila
frequency.arg,Frequency Arg,https://www.instagram.com/frequency.arg,,,,Mendoza,Mendoza,Mendoza,0,Ramo
lagranpapi,La Gran Papi,https://www.instagram.com/lagranpapi,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
coco.bookings,Coco Bookings,https://www.instagram.com/coco.bookings,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
simbiosis_ciclo,Simbiosis,https://www.instagram.com/symbiosis.of/,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
desierto.prod,Desierto productora®️,https://www.instagram.com/desierto.prod,,,,La Rioja,La Rioja,La Rioja,2,Facu
asterland.after,,https://www.instagram.com/asterland.after,,,,Buenos Aires,GBA,CABA | GBA,0,Vila
genesisaltovalle,Génesis,https://www.instagram.com/genesisaltovalle,,,,Neuquén,Neuquén,Neuquén,0,Ramo
pipilandiaproducciones,Pipilandia,https://www.instagram.com/pipilandiaproducciones,No,No,no,Córdoba,Córdoba,Córdoba,0,Vila
lumina_ar,lumina,https://www.instagram.com/lumina_ar,,,,Buenos Aires,Mar del Plata,Mar del Plata,0,Facu
off.lxve,OFF LXVE,https://www.instagram.com/off.lxve,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
tronicaok,Tronica,https://www.instagram.com/tronicaok,,,,Formosa,Formosa,Formosa,1,Facu
otromamboclub,OTRO MAMBO,https://www.instagram.com/otromamboclub,No,No,no,Misiones,Posadas,Misiones,0,Vila
distrito4.ar,Distrito4,https://www.instagram.com/distrito4.ar,,,,La Pampa,General Pico,La Pampa,0,Ramo
umma_posadas,UMMA Club,https://www.instagram.com/umma_posadas,No,No,no,Misiones,Posadas,Misiones,2,Vila
7am.pass,7am | Tickets,https://www.instagram.com/7am.pass,,,,Uruguay,Punta del Este,Uruguay,0,Ramo
cuartonativo,Cuarto Nativo,https://www.instagram.com/cuartonativo,,,,Uruguay,Punta del Este,Uruguay,0,Ramo
bracohouse,Fiesta | Housemusic | Amor 🤍,https://www.instagram.com/bracohouse,,,,Buenos Aires,CABA,CABA | GBA,1,Facu
dreamplace.tdl,𝐃𝐑𝐄𝐀𝐌 𝐏𝐋𝐀𝐂𝐄 | Productora de Eventos,https://www.instagram.com/dreamplace.tdl,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
justfeel_ok,,https://www.instagram.com/justfeel_ok,,,,Buenos Aires,GBA,CABA | GBA,0,Vila
justfeel______,JUST FEEL,https://www.instagram.com/justfeel______,,,,Mendoza,Mendoza,Mendoza,0,Ramo
mundoaparte.oficial,Mundo Aparte,https://www.instagram.com/mundoaparte.oficial,,,,Formosa,Formosa,Formosa,0,Facu
skyland.oficial,Skyland,https://www.instagram.com/skyland.oficial,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
turboentrada,Turbo Entrada,https://www.instagram.com/turboentrada,,,,Ticketera,Otro,,0,
francisclub__,FrancisClub,https://www.instagram.com/francisclub__,,,,Córdoba,Córdoba,Córdoba,0,Vila
magiceventosbariloche,Magic eventos,https://www.instagram.com/magiceventosbariloche,,,,Río Negro,Bariloche,Río Negro,0,Ramo
victoriawhynot,VICTORIA WHYNOT,https://www.instagram.com/victoriawhynot,,,,Dj,Otro,,0,
germanrrivera,German Rivera,https://www.instagram.com/germanrrivera,,,,Dj,Otro,,0,
auditoriosur_eside,AuditorioSur Eside,https://www.instagram.com/auditoriosur_eside,No,No,no,Buenos Aires,GBA,CABA | GBA,0,Vila
warriors_productora,*WARRIORS*,https://www.instagram.com/warriors_productora,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
punta.music,Punta Music,https://www.instagram.com/punta.music,,,,Uruguay,Punta del Este,Uruguay,0,Ramo
moroccocostanera,Morocco,https://www.instagram.com/moroccocostanera,,,,Cachengue,Otro,,0,
labia.producciones,Labia producciones,https://www.instagram.com/labia.producciones,,,,Cachengue,Otro,,0,
kenya.rooftop,K E N Y A,https://www.instagram.com/kenya.rooftop,,,,Buenos Aires,GBA,CABA | GBA,0,Vila
franie.smith,Francine Smith 🌈🎧🦄,https://www.instagram.com/franie.smith,,,,Dj,Otro,,0,
arcana.experience,ARCANA,https://www.instagram.com/arcana.experience,No,No,no,Mendoza,Mendoza,Mendoza,0,Vila
buho.produ,BUHO producciones,https://www.instagram.com/buho.produ,,,,Neuquén,Neuquén,Neuquén,0,Ramo
aybak.productions,A Y B Å K,https://www.instagram.com/aybak.productions,,,,Buenos Aires,CABA,CABA | GBA,1,Facu
highlifebsas,HIGHLIFE,https://www.instagram.com/highlifebsas,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
pampawarro,Pampa Warro,https://www.instagram.com/pampawarro,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
ele_multiespacio,Ele Multiespacio,https://www.instagram.com/ele_multiespacio,,,,Chubut,Comodoro Rivadavia,Chubut,1,Ramo
px.traveling,PX traveling experience,https://www.instagram.com/px.traveling,,,,Turismo Joda,Otro,,0,
enfants.ba,Enfants,https://www.instagram.com/enfants.oficial/,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
moodhelpers,Moodhelpers,https://www.instagram.com/moodhelpers,Si,No,no,Buenos Aires,CABA,CABA | GBA,1,Vila
dream.machine_label,Dream Machine,https://www.instagram.com/dream.machine_label,,,,Buenos Aires,Mar del Plata,Mar del Plata,0,Facu
smooth.bsas,SMOOTH (Bs.As.),https://www.instagram.com/smooth.bsas,,,,Buenos Aires,CABA,CABA | GBA,3,Facu
diofaro,Diofaro,https://www.instagram.com/diofaro,,,,Dj,Otro,,0,
eros.techno,Valentina Castillo,https://www.instagram.com/eros.techno,,,,Dj,Otro,,0,
extended.time.ba,THE AFTER,https://www.instagram.com/extended.time.ba,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
astronomy.oficial,Astronomy,https://www.instagram.com/astronomy.oficial,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
scandaloproducciones,Scandalo,https://www.instagram.com/scandaloproducciones,,,,Río Negro,Fernandez Oro,Río Negro,0,Ramo
urbeat.techno,Urbeat,https://www.instagram.com/urbeat.techno,,,,Buenos Aires,La Plata,La Plata,2,Facu
feedback.undergroove,Feedback Undergroove,https://www.instagram.com/feedbackundergroove/,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
fizz__music,Fizz music,https://www.instagram.com/fizz__music,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
melodicsoul_,Melodic Soul,https://www.instagram.com/melodicsoul_,,,,Brasil,Rio de Janeiro,,0,
fiestasdeelectronicauruguay,𝙈𝘼𝙍𝙏𝙄𝙉 𝙃𝙐𝙏𝙉𝙄𝙆,https://www.instagram.com/fiestasdeelectronicauruguay,,,,Uruguay,Punta del Este,Uruguay,0,Ramo
fitb____,Feel In The Blank,https://www.instagram.com/fitb____,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
endlesssound,Endless Sound,https://www.instagram.com/endlesssound,,,,Mendoza,Mendoza,Mendoza,4,Ramo
confianza.producciones,Confianza,https://www.instagram.com/confianza.producciones,,,,Buenos Aires,CABA,CABA | GBA,2,Facu
join.go.on,GO ON,https://www.instagram.com/join.go.on,No,No,no,Corrientes,Ciudad de Corrientes,Corrientes,1,Vila
rhythmic.oficial,• R H Y T H M I C •,https://www.instagram.com/rhythmic.oficial,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
decibelesclub,dECIBELES,https://www.instagram.com/decibelesclub,,,,Jujuy,San Salador de Jujuy,Jujuy,0,Facu
mrjones_mdp,MR. JONES,https://www.instagram.com/mrjones_mdp,,,,Buenos Aires,Mar del Plata,Mar del Plata,1,Facu
club_quba,Club Quba,https://www.instagram.com/club_quba,,,,Buenos Aires,Mar del Plata,Mar del Plata,6,Facu
lbstudio.ok,LB Studio,https://www.instagram.com/lbstudio.ok,,,,Buenos Aires,Mar del Plata,Mar del Plata,0,Facu
samsarabeach.mdq,After Beach,https://www.instagram.com/samsarabeach.mdq,,,,Buenos Aires,Mar del Plata,Mar del Plata,0,Facu
exit.management,EXIT MANAGEMENT & BOOKING AGENCY,https://www.instagram.com/exit.management,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
lust.experience,LUST ᴍᴜsɪᴄ ᴇxᴘᴇʀɪᴇɴᴄᴇ,https://www.instagram.com/lust.experience,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
fractal.prod,F R A C T A L,https://www.instagram.com/fractal.prod,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
5d.prod,5D💜,https://www.instagram.com/5d.prod,No,no,no,Buenos Aires,CABA,CABA | GBA,1,Vila
vadormi_producciones,ᴠᴀᴅᴏʀᴍɪ_ᴘʀᴏᴅᴜᴄᴄɪᴏɴᴇs®️,https://www.instagram.com/vadormi_producciones,,,,Córdoba,Córdoba,Córdoba,0,Vila
gardenofsound.music,G A R D E N O F S O U N D,https://www.instagram.com/gardenofsound.music,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
clubbingofc,CLUBBING,https://www.instagram.com/clubbingofc,,,,Buenos Aires,CABA,CABA | GBA,0,Vila
panter.producciones,,https://www.instagram.com/panter.producciones,,,,Buenos Aires,GBA,CABA | GBA,0,Facu
capitalelectronica,Capital Electrónica,https://www.instagram.com/capitalelectronica,,,,Buenos Aires,Mar del Plata,Mar del Plata,0,Facu
mid90s_ba,MID90s,https://www.instagram.com/mid90s_ba,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
stabtechno,STAB TECHNO,https://www.instagram.com/stabtechno,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
kook.label,kook label,https://www.instagram.com/kook.label,,,,Buenos Aires,Mar del Plata,Mar del Plata,0,Facu
chrystal.label,Chrystal Label,https://www.instagram.com/chrystal.label,,,,Buenos Aires,CABA,CABA | GBA,0,Vila
svb_bsas,Svb,https://www.instagram.com/svb_bsas,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
gluehouse_,Glue House,https://www.instagram.com/gluehouse_,,,,Buenos Aires,CABA,CABA | GBA,1,Facu
kindergarden.rec,KINDERGARDEN RECORDS,https://www.instagram.com/kindergarden.rec,No,No,no,Entre Ríos,Paraná,Santa Fe | Paraná,0,Vila
technoplease_,Techno Please,https://www.instagram.com/technoplease_,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
lafem__ba,LA FEM,https://www.instagram.com/lafem_ba/,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
kora.producciones,KORA,https://www.instagram.com/kora.producciones,,,,Buenos Aires,CABA,CABA | GBA,2,Facu
fusion90_,Fusion 90 - Talento Nacional,https://www.instagram.com/fusion90_,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
greengoblin.ofc,Green Goblin Festival,https://www.instagram.com/greengoblin.ofc,,,,Buenos Aires,GBA,CABA | GBA,0,Vila
neptune_legs,Legs Producciones - Neptune,https://www.instagram.com/neptune_legs,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
symbiotic.ciclo,Symbiøtic 🦠,https://www.instagram.com/symbiotic.ciclo,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
inerciagroup,INERCIA GROUP,https://www.instagram.com/inerciagroup,,,,Buenos Aires,GBA,CABA | GBA,0,Vila
amelebeat,- ᴀᴍᴇ ʟᴇ ʙᴇᴀᴛ -,,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
planout.ar,Plan Out,https://www.instagram.com/planout.ar,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
patagoniapicnic,🏔️❄️ WINTER EDITION ❄️🏔️ 10/8 ❤️‍🔥,https://www.instagram.com/patagoniapicnic,,,,Río Negro,Bariloche,Río Negro,0,Ramo
all.indeep,All in Deep,https://www.instagram.com/all.indeep,,,,Buenos Aires,CABA,CABA | GBA,0,Vila
loop_baires,LOOP |,https://www.instagram.com/loop_baires,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
agora.group_,ÁGORA GROUP,https://www.instagram.com/agora.group_,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
dikeyorg,𝗗 𝗜 𝗞 𝗘 𝗬,https://www.instagram.com/dikeyorg,,,,Buenos Aires,CABA,CABA | GBA,1,Facu
ciclosavant,SAVANT,https://www.instagram.com/ciclosavant,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
bloom.produce,BLOOM PRODUCE,https://www.instagram.com/bloom.produce,No,No,no,Entre Ríos,Concordia,Entre Ríos,1,Vila
club_baires,CLUB BUENOS AIRES,https://www.instagram.com/club_baires,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
moontravel,Moon Travel,https://www.instagram.com/moontravel,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
buen.viaje.prod,BUEN VIAJE PRODUCCIONES 🪐,https://www.instagram.com/buen.viaje.prod,,,,Buenos Aires,CABA,CABA | GBA,0,Vila
martin.angrisano.music,Martin Angrisano (ARG),https://www.instagram.com/martin.angrisano.music,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
movidaelectronicanqn,Movida Electrónica Neuquen,https://www.instagram.com/movidaelectronicanqn,,,,Neuquén,Patagonia,Neuquén,0,Ramo
bookingtechno,BookingTechno,https://www.instagram.com/bookingtechno,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
attack.records,ATTACK Rec. 🔪,https://www.instagram.com/attack.records,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
Suite 122,suite_122,https://www.instagram.com/suite_122/,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
elchucaroeventos,Chucaro Salón de Eventos,https://www.instagram.com/elchucaroeventos/,,,,Río Negro,Bariloche,Río Negro,0,Ramo
dissnoant.ofc,DISSONANT,https://www.instagram.com/dissonant.ofc/,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
aprescatedral,A P R Ê S,https://www.instagram.com/aprescatedral/,,,,Río Negro,Bariloche,Río Negro,0,Ramo
theclub.2.3,THE CLUB 23,https://www.instagram.com/theclub23.oficial/,,,,Río Negro,Cipoletti,Río Negro,0,Ramo
theclub_mza,The Club,https://www.instagram.com/theclub_mza,,,,Mendoza,Mendoza,Mendoza,1,Ramo
lapime.ba,𝙇𝘼 𝙋𝙄𝙈𝙀,https://www.instagram.com/lapime.ba,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
pulserecords.ar,P̵U̵L̵S̵E̵,https://www.instagram.com/pulserecords.ar,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
frecuenciatmos,ATMOS,https://www.instagram.com/frecuenciatmos,,,,Buenos Aires,CABA/GBA,CABA | GBA,0,Vila
pylaerestobar,PYLAE PROGRESSIVE BAR,https://www.instagram.com/pylaeprogressivebar/,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
lotus_alto,Lotus Alto,https://www.instagram.com/lotus_alto,,,,Santa Fe,Rosario,Rosario,0,Vila
wabifunclub,Wabi Fun Club,https://www.instagram.com/wabifunclub,,,,Mendoza,Mendoza,Mendoza,0,Ramo
techno.mdz,Techno Mdz,https://www.instagram.com/techno.mdz,,,,Mendoza,Mendoza,Mendoza,0,Ramo
boiler.producciones,Boiler Producciones,https://www.instagram.com/boiler.producciones,No,Si,no,Santa Fe,Rosario,Rosario,4,Vila
vortex_club_mdz,Vortex Club,https://www.instagram.com/vortex_club_mdz,,,,Mendoza,Mendoza,Mendoza,0,Ramo
aquasanluis,AQUA San Luis oficial,https://www.instagram.com/aquasanluis,,,,San Luis,San Luis,San Luis,0,Facu
brucks.tuc,Bruck’s | bar & pub,https://www.instagram.com/brucks.tuc,,,,Tucumán,Tucumán,Tucumán,0,Facu
ctrlz.ciclo,CONTROL Z,https://www.instagram.com/ctrlz.ciclo,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
dmensions.tm,D™,https://www.instagram.com/dmensions.tm,,,,Tucumán,Tucumán,Tucumán,0,Facu
lignee.bar,Lignée Bar,https://www.instagram.com/lignee.bar,,,,Buenos Aires,CABA,CABA | GBA,0,Vila
j_l_club,J L CLUB,https://www.instagram.com/j_l_club,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
totalclubtotal,CLUB TOTAL,https://www.instagram.com/totalclubtotal,,,,Buenos Aires,CABA,CABA | GBA,0,Vila
cicloenso,EnsoProgreAr,https://www.instagram.com/cicloenso,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
lino.cultura,Lino,https://www.instagram.com/lino.cultura,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
bigbang_event_producer,BIGBANG Event Producer,https://www.instagram.com/bigbang_event_producer,,,,Buenos Aires,CABA/GBA,CABA | GBA,2,Facu
wavproducciones,.WAV,https://www.instagram.com/wavproducciones,,,,Buenos Aires,CABA,CABA | GBA,0,Vila
muelle_costanera,MUELLE COSTANERA,https://www.instagram.com/muelle_costanera,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
hoodzone.techno,𝐇𝐨𝐨𝐝 𝐙𝐨𝐧𝐞,https://www.instagram.com/hoodzone.techno,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
kikacluboficial,🪩 KIKA CLUB 🥂,https://www.instagram.com/kikacluboficial,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
dementia.records,Dementia Records,https://www.instagram.com/dementia.records,,,,Buenos Aires,GBA,CABA | GBA,0,Vila
budagroup_,𝗣𝗿𝗼𝗱𝘂𝗰𝘁𝗼𝗿𝗮 𝗱𝗲 𝗘𝘃𝗲𝗻𝘁𝗼𝘀,https://www.instagram.com/budagroup_,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
cm__producciones,🇦🇷 𝘾𝙈 𝙋𝙧𝙤𝙙𝙪𝙘𝙘𝙞𝙤𝙣𝙚𝙨.,https://www.instagram.com/cm__producciones,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
flama_bookings,Flama Bookings,https://www.instagram.com/flama_bookings,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
buenviajeprod,BUEN VIAJE ®️,https://www.instagram.com/buenviajeprod,,,,Neuquén,Neuquén,Neuquén,0,Ramo
zet.producciones,Zet producciones,https://www.instagram.com/zet.producciones,No,No,no,Entre Ríos,Concordia,Entre Ríos,0,Vila
raveproduction___,RAVE PRODUCTION | Producciones,https://www.instagram.com/raveproduction___,,,,Santa Fe,Rosario,Rosario,0,Vila
plur.ofc,PLUR,https://www.instagram.com/plur.ofc,,,,Buenos Aires,CABA,CABA | GBA,0,Vila
private.techno,Private Techno,https://www.instagram.com/private.techno,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
kenya_house_music,kenya House Music,https://www.instagram.com/kenya_house_music,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
ciclo.nexo,Ciclo Nexo,https://www.instagram.com/ciclo.nexo,,,,Buenos Aires,CABA,CABA | GBA,1,Facu
successesproducciones,Successes Producciones,https://www.instagram.com/successesproducciones,,,,Buenos Aires,San Nicolás,Interior BA,0,Facu
runa.club,RUNA CLUB  ®️,https://www.instagram.com/runa.club,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
lookme.experience,Look Me,https://www.instagram.com/lookme.experience,,,,Córdoba,Córdoba,Córdoba,0,Vila
chirolasgroove,G R O O V E,https://www.instagram.com/chirolasgroove,,,,Mendoza,Ciudad de Mendoza,Mendoza,0,Ramo
inclub.cba,inclub,https://www.instagram.com/inclub.cba,No,Si,no,Córdoba,Córdoba,Córdoba,2,Vila
peishpro,#Peish,https://www.instagram.com/peishpro,,,,Santa Fe,Rosario,Rosario,0,Vila
india.house.club,𝗜𝗡𝗗𝗜𝗔 𝗛𝗢𝗨𝗦𝗘 - Club,https://www.instagram.com/india.house.club,,,,Buenos Aires,Mar del Plata,Mar del Plata,0,Facu
__.blackbox.__,BlackBox,,,,,Buenos Aires,La Plata,La Plata,0,Facu
iconic.club,ICONIC CLUB,https://www.instagram.com/iconic.club,,,,Buenos Aires,La Plata,La Plata,0,Facu
somnus.wav,SOMNUS,https://www.instagram.com/somnus.wav,,,,Buenos Aires,La Plata,La Plata,2,Facu
puerta_bassmusic,PUERTA,https://www.instagram.com/puerta_bassmusic,,,,Buenos Aires,GBA,CABA | GBA,0,Ramo
911club.ba,,https://www.instagram.com/911club.ba,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
feboasoma.ciclo,Febo Asoma,https://www.instagram.com/feboasoma.ciclo,No,No,no,Buenos Aires,CABA,CABA | GBA,1,Vila
audiosive,AUDIOSIVE,https://www.instagram.com/audiosive,,,,Río Negro,Bariloche,Río Negro,0,Ramo
clubkoi_,KOI CLUB,https://www.instagram.com/clubkoi_,,,,Mendoza,Mendoza,Mendoza,0,Ramo
blow_sj,BLOW,https://www.instagram.com/blow_sj,,,,San Juan,San Juan,San Juan,0,Ramo
muna.prod,ᴍᴜɴᴀ | ᴛᴇᴄʜɴᴏ ᴇxᴘᴇʀɪᴇɴᴄᴇ,https://www.instagram.com/muna.prod,,,,Salta,Salta,Salta,0,Facu
medusaclub__,Medusa Club,https://www.instagram.com/medusaclub__,,,,Tucumán,Tucumán,Tucumán,0,Facu
corner.pichincha,Corner Pichincha,https://www.instagram.com/corner.pichincha,,,,Santa Fe,Rosario,Rosario,0,Vila
staffordcerveceriaok,Stafford Cerveceria,https://www.instagram.com/staffordcerveceriaok,,,,Buenos Aires,Mar del Plata,Mar del Plata,0,Facu
jota.culturalocal,🇯 🇴 🇹 🇦 .  Ciudad de La Plata,https://www.instagram.com/jota.culturalocal,,,,Buenos Aires,La Plata,La Plata,3,Facu
pabu.producciones,PABÜ,,,,,Buenos Aires,La Plata,La Plata,0,Facu
miragebsas,MIRAGE BS AS,https://www.instagram.com/miragebsas,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
cretacostanera,Crëta,https://www.instagram.com/cretacostanera,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
droop.ba,DROOP 🇦🇷,https://www.instagram.com/droop.ba,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
kenya_oficial_ok,⛩️ 𝙠𝙚𝙣𝙮𝙖 𝙊𝙛𝙞𝙘𝙞𝙖𝙡,https://www.instagram.com/kenya_oficial_ok,,,,Buenos AIres,CABA,CABA | GBA,0,Ramo
