name,social_link,priority
𝙇𝘼 𝙋𝙄𝙈𝙀,https://www.instagram.com/lapime.ba,
P̵U̵L̵S̵E̵,https://www.instagram.com/pulserecords.ar,
ATMOS,https://www.instagram.com/frecuenciatmos,
PYLAE PROGRESSIVE BAR,https://www.instagram.com/pylaerestobar,
Lotus Alto,https://www.instagram.com/lotus_alto,
Wabi Fun Club,https://www.instagram.com/wabifunclub,
KIKA CLUB OFICIAL,https://www.instagram.com/kikaoficialok,
TODO PRODUCCIONES,https://www.instagram.com/todoproducciones,
Techno Mdz,https://www.instagram.com/techno.mdz,
Boiler Producciones,https://www.instagram.com/boiler.producciones,
Vortex Club,https://www.instagram.com/vortex_club_mdz,
AQUA San Luis oficial,https://www.instagram.com/aquasanluis,
Bruck’s | bar & pub,https://www.instagram.com/brucks.tuc,
CONTROL Z,https://www.instagram.com/ctrlz.ciclo,
Rave Techno,https://www.instagram.com/rave.tucuman,
MISTIC,https://www.instagram.com/mistic.arg,
D™,https://www.instagram.com/dmensions.tm,
Rarest,https://www.instagram.com/rarest.producciones,
MAKE ME FLY,https://www.instagram.com/makemefly.ok,
Happy Session,https://www.instagram.com/happysessionok,
VISION,https://www.instagram.com/vision.festival,
Lignée Bar,https://www.instagram.com/lignee.bar,
J L CLUB,https://www.instagram.com/j_l_club,
LFO COMMUNITY,https://www.instagram.com/lfo.community,
CLUB TOTAL,https://www.instagram.com/totalclubtotal,
EnsoProgreAr,https://www.instagram.com/cicloenso,
UTOPIC🔹,https://www.instagram.com/utopic_ar,
BRUTA,https://www.instagram.com/fiestabruta,
Lino,https://www.instagram.com/lino.cultura,
BIGBANG Event Producer,https://www.instagram.com/bigbang_event_producer,
.WAV,https://www.instagram.com/wavproducciones,
MUELLE COSTANERA,https://www.instagram.com/muelle_costanera,
𝐇𝐨𝐨𝐝 𝐙𝐨𝐧𝐞,https://www.instagram.com/hoodzone.techno,
🪩 KIKA CLUB 🥂,https://www.instagram.com/kikacluboficial,
Fiestas con groove y mística 🛸,https://www.instagram.com/pulsoproductora,
S U O И O,https://www.instagram.com/suono.ar,
CLAP MUSIC,https://www.instagram.com/clapmusic_,
Francisca del Fuego,https://www.instagram.com/franciscadelfuego,
Dementia Records,https://www.instagram.com/dementia.records,
𝗣𝗿𝗼𝗱𝘂𝗰𝘁𝗼𝗿𝗮 𝗱𝗲 𝗘𝘃𝗲𝗻𝘁𝗼𝘀,https://www.instagram.com/budagroup_,
Centro Cultural DVNE PARK ®,https://www.instagram.com/duneparkclub,
